Abbreviation	Category	Group	Pathology	Gene/Region	PMID
Sotos_Sadikovic	SNV	Sotos	Sotos syndrome	NSD1	32109418
Sotos_Weksberg	SNV	Sotos	Sotos syndrome	NSD1	26690673
RSTS_1	SNV	RSTS_1	Rubinstein-Taybi syndrome 1 (RSTS1)	CREBBP	35047860
RSTS_2	SNV	RSTS_2	Rubinstein-Taybi syndrome 2 (RSTS2)	EP300	35047860
RSTS_1_2	SNV	RSTS_1,RSTS_2	Rubinstein-Taybi syndromes 1,2 (RSTS1,2)	CREBBP, EP300	32109418
ARTHS	SNV	ARTHS	Arboleda-Tham syndrome (ARTHS)	KAT6A	35047860, 37249
AKS	SNV	AKS	Au-Kline syndrome	HNRNPK	36130591
AUTS18	SNV	AUTS18	Autism, susceptibility to, 18 (AUTS18)	CHD8	32109418
KDM4B	SNV	KDM4B	Autosomal dominant intellectual developmental disorder-65 (MRD65)	KDM4B	35047860
BCL11B_RD	SNV	BCL11B_RD	BCL11B-related disorder	BCL11B	37860968
BEFAHRS	SNV	BEFAHRS	Beck-Fahrner syndrome (BEFAHRS)	TET3	35047860
BOS	SNV	BOS	Bohring-Opitz syndrome	ASXL1, ASXL2, and ASXL3	35361921
BFLS	SNV	BFLS	Börjeson-Forssman-Lehmann syndrome	PHF6	32109418
CDK13_RD	SNV	CDK13_RD	CDK13-related disorder	CDK13	35063350
ADCADN	SNV	ADCADN	Cerebellar ataxia, deafness, and narcolepsy, autosomal dominant	DNMT1	32109418
CHARGE_Sadikovic	SNV	CHARGE	CHARGE syndrome	CHD7	32109418
CHARGE_Weksberg	SNV	CHARGE	CHARGE syndrome	CHD7	28475860
DIDOD	SNV	DIDOD	Chung-Jansen syndrome	PHIP	38787418
CBS	SNV	CBS	Clark-Baraitser syndrome	TRIP12	36430143
CdLS	SNV	CdLS	Cornelia de Lange syndromes 1,2,3,4	NIPBL, SMC1A, SMC3, RAD21	32109418
CUL3	SNV	CUL3	Neurodevelopmental disorder with or without autism or seizures 	CUL3	39501558
DMD	SNV	DMD	Duchenne muscular dystrophy	DMD	36572586
EEOC_Sadikovic	SNV	EEOC	Epileptic encephalopathy, childhood-onset	CHD2	32109418
EEOC_Sadikovic_refine	SNV	EEOC	Epileptic encephalopathy, childhood-onset	CHD2	39107278
FA	SNV	FA	Fanconi anemia	FANCA	37865086
GADEVS	SNV	GADEVS	Gabriele-de Vries syndrome (GADEVS)	YY1	35047860
HAFOUS	SNV	HAFOUS	Hao-Fountain syndrome	USP7	38126281
HNRNPU_RND	SNV	HNRNPU_RND	HNRNPU haploinsufficiency	HNRNPU	37120726
IDDSELD	SNV	IDDSELD	Intellectual developmental disorder with seizures and language delay (IDDSELD)	SETD1B	32109418
IDD21	SNV	IDD21	Intellectual developmental disorder, autosomal dominant 21	CTCF	38054406
JARID2_NDS	SNV	JARID2_NDS	JARID2-neurodevelopmental syndrome	JARID2	35887345
Kabuki_Sadikovic	SNV	Kabuki	Kabuki syndromes 1,2	KMT2D, KDM6A	32109418
Kabuki_Weksberg	SNV	Kabuki	Kabuki syndromes 1,2	KMT2D	28475860
KBHNS	SNV	KBHNS	Karayol-Borroto-Haghshenas neurodevelopmental syndrome	MSL2	38815585
KBG	SNV	KBG	KBG syndrome	ANKRD11	36440975
LLS	SNV	LLS	Luscan-Lumish syndrome (LLS)	SETD2	35047860
MRD23	SNV	MRD23	Mental retardation, autosomal dominant 23 (MRD23)	SETD5	
MRD51	SNV	MRD51	Mental retardation, autosomal dominant 51	KMT5B	32109418
TWIN	SNV	TWIN	Monozygotic (MZ) twins		34584077
MOWS	SNV	MOWS	Mowat-Wilson	ZEB2	38351292
MLASA2	SNV	MLASA2	Myopathy, lactic acidosis, and sideroblastic anemia 2 (MLASA2)	YARS2	35047860
SHANK3	SNV	SHANK3	Phelan-McDermid syndrome	SHANK3	33407854
PTHS	SNV	PTHS	Pitt-Hopkins syndrome	TCF4	38571311
RMNS	SNV	RMNS	Rahman syndrome	H1-4 (HIST1H1E)	32109418
RCEM	SNV	RCEM	Recurrent constellations of embryonic malformations	VACTERL, OAVS, CHARGE-like	39089258
RENS1	SNV	RENS1	Renpenning syndrome (RENS1)	PQBP1	35047860
MKHK_ID4a	SNV	MKHK_ID4a	Menke-Hennekam syndromes 1,2 (MKHK1,2)	CREBBP, EP300	35047860
TBRS	SNV	TBRS	Tatton-Brown-Rahman syndrome	DNMT3A	32109418
WDSTS_Sadikovic	SNV	WDSTS	Wiedemann-Steiner syndrome	KMT2A	32109418
WDSTS_Lebre	SNV	WDSTS	Wiedemann-Steiner syndrome	KMT2A	35163737
WITKOS	SNV	WITKOS	Witteveen-Kolk syndrome	SIN3A	36399132
WHS	SNV	WHS	Wolf–Hirschhorn syndrome (WHS)	NSD2	36589751
ATRX	SNV	ATRX	X-linked alpha-thalassemia/mental retardation syndrome (ATRX)	ATRX	32109418
KMT2C	SNV	KMT2C	KMT2C-related NDD (non-Kabuki, non-Kleefstra)	KMT2C	39013459
KDVS_Sadikovic	SNV	KDVS	Koolen de Vreis syndrome	KANSL1	32109418
KDVS_Weksberg	SNV	KDVS	Koolen de Vreis syndrome	KANSL1	38282074
DYT28_Oexle	SNV	DYT28	KMT2B-related dystonia	KMT2B	34590685
